UniqueID;DateOfBite;SpayNeuter;ZipCode;Unique Dog ID;AnimalBirthMonth
1;January 02 2015;true;11238;CONEY-M-2011/10029;2011
2;January 02 2015;false;11249;PENNY-F-2004/11109;2004
3;January 02 2015;false;11249;SHILOH-M-2013/10029;2013
4;January 01 2015;false;11221;MONTE-M-2004/11221;2004
5;January 03 2015;false;11207;PAISLEY-F-2012/11235;2012
6;January 05 2015;false;11209;DUKE-M-2011/11355;2011
7;January 04 2015;false;11220;JACK-M-2013/10467;2013
8;January 05 2015;false;11237;BOWIE-M-2014/10461;2014
9;January 04 2015;false;11215;DIESEL-M-2012/10306;2012
10;January 04 2015;false;11221;BRUNO-M-2013/10027;2013
11;January 02 2015;false;11221;SHADOW-M-2011/10453;2011
12;January 02 2015;false;11220;ASH-M-2010/11213;2010
13;January 05 2015;false;11205;TOMMY-M-2014/10022;2014
14;January 01 2015;false;11220;WILL-F-2011/11206;2011
15;January 07 2015;false;11220;BRODY-M-2008/10022;2008
16;January 05 2015;true;11224;NELLIE-F-2009/10310;2009
17;January 09 2015;true;11213;COTTON-F-2004/10005;2004
18;January 10 2015;true;11213;KOKOI-M-2012/10452;2012
19;January 10 2015;false;11237;CANDY-F-2004/11358;2004
20;January 13 2015;true;11217;MAMA-F-2012/11414;2012
21;January 12 2015;false;11208;BRADY-M-2009/10019;2009
22;January 16 2015;false;11235;ELSIE-F-2013/11237;2013
23;January 12 2015;false;11207;NAME NOT PROVIDED-F-2011/10473;2011
24;January 17 2015;false;11213;JOE-M-2014/10016;2014
25;January 21 2015;false;11206;ZENO-M-2010/10009;2010
26;January 22 2015;true;11229;HUGO-M-2008/11217;2008
27;January 24 2015;false;11226;ERNEST-M-2012/11207;2012
28;January 27 2015;false;11217;ACE-M-2009/10305;2009
29;January 25 2015;false;11209;SIX-F-2009/10035;2009
30;January 25 2015;false;11213;JUANA-F-2010/10029;2010
31;January 25 2015;false;11213;ROCKY-M-2012/10010;2012
32;January 20 2015;false;11236;CHOLITO-M-2013/11210;2013
33;January 29 2015;false;11236;MAGGIE-F-2006/11226;2006
34;January 31 2015;false;11236;GEORGIE-F-2009/10304;2009
35;January 31 2015;false;11220;ABBEY-F-2012/10302;2012
36;January 31 2015;false;11220;BUSTER-M-2013/11229;2013
37;January 23 2015;false;11229;MIA-F-2009/11413;2009
38;January 31 2015;false;11229;KHLOE-F-2009/10457;2009
39;February 04 2015;false;11216;BUSTER-M-2005/10065;2005
40;February 05 2015;true;11214;CASSANDRA-F-2006/11358;2006
41;February 01 2015;false;11204;BOOMER-M-2002/11232;2002
42;February 04 2015;false;11220;COOKIE-F-2010/10303;2010
43;February 06 2015;false;11252;COOKIE-F-2010/11101;2010
44;February 07 2015;false;11215;CHARLEY-M-2013/10309;2013
45;February 07 2015;true;11214;OBI-M-2009/11361;2009
46;January 27 2015;false;11205;OREO-F-2003/11206;2003
47;February 06 2015;false;11205;COPPER-F-2004/10002;2004
48;January 27 2015;false;11214;APOLLO-M-2009/10453;2009
49;February 10 2015;false;11204;BERNIE-M-2006/10473;2006
50;February 07 2015;false;11206;ROCKY-M-2005/10023;2005
51;February 07 2015;true;11208;DAPHNE-F-2005/10028;2005
52;January 27 2015;false;11228;CUBA-F-2005/10465;2005
53;February 11 2015;false;11235;WHIDBEY-M-2005/10022;2005
54;February 11 2015;true;11209;YGGYE-M-2007/11218;2007
55;February 09 2015;true;11232;ROXY-F-2013/11205;2013
56;February 12 2015;false;11229;SLATE-M-2006/10308;2006
57;February 12 2015;false;11237;DOC-M-1996/10001;1996
58;February 14 2015;false;11237;SADIE-F-2010/10451;2010
59;February 14 2015;false;11205;MAX-M-2012/11218;2012
60;February 15 2015;false;11234;GRACIE-F-2012/10023;2012
61;February 15 2015;false;11234;REESE-F-2011/11377;2011
62;February 13 2015;true;11221;MAISY-F-2013/10312;2013
63;February 17 2015;false;11218;TIFFANY-F-2009/10456;2009
64;February 15 2015;false;11207;PRINCESS-F-2010/11215;2010
65;February 12 2015;false;11231;KHIONE-F-2014/10019;2014
66;February 18 2015;false;11233;PJ-M-2012/10036;2012
67;February 17 2015;false;11207;LILLY-F-2010/10034;2010
68;February 19 2015;true;11213;AUDREY-F-2012/10583;2012
69;February 21 2015;false;11217;JAKE-M-2013/10012;2013
70;February 06 2015;false;11217;ROXIE-F-2008/11214;2008
71;February 12 2015;false;11224;HAMILTON-M-2009/11217;2009
72;February 22 2015;true;11235;BENTLEY-M-2013/10312;2013
73;February 24 2015;false;11215;FIONA-F-2012/10021;2012
74;February 24 2015;true;11210;PATCHES-F-2003/11238;2003
75;February 24 2015;false;11234;ABBY-F-2014/10040;2014
76;February 22 2015;false;11234;AGASHA-F-2009/10029;2009
77;February 21 2015;false;11231;SUGAR-F-2008/10458;2008
78;February 26 2015;false;11206;SHELDON-M-2010/10017;2010
79;February 22 2015;true;11209;GOZER-M-2013/11201;2013
80;February 23 2015;false;11209;KING-M-2014/10465;2014
81;February 26 2015;false;11226;RANGER-M-2012/11426;2012
82;February 28 2015;true;11230;MOROFF-M-2012/10308;2012
83;February 26 2015;false;11220;NENE-M-2008/11355;2008
84;February 01 2015;false;11215;PITUFO-M-2011/11209;2011
85;March 01 2015;true;11225;BAILEY-M-2010/10314;2010
86;February 28 2015;false;11228;BESSIE-F-2006/10025;2006
87;February 10 2015;false;11221;BAXTER-M-2008/11225;2008
88;March 03 2015;false;11235;ROXIE-F-2004/10305;2004
89;March 04 2015;true;11215;SONATA-F-2014/10024;2014
90;March 06 2015;false;11206;BENNET-M-2013/10013;2013
91;March 07 2015;true;11201;REBEL-F-2012/11694;2012
92;February 27 2015;false;11206;POPPY-F-2003/11223;2003
93;March 07 2015;true;11233;WILLIAM-M-2013/11218;2013
94;March 08 2015;false;11234;MISSY-F-2005/11416;2005
95;March 10 2015;false;11201;CHANEL-F-2007/11208;2007
96;March 06 2015;false;11201;WAYLON-M-2011/10025;2011
97;March 12 2015;false;11208;RADCLIFFE-M-2010/11691;2010
98;March 12 2015;false;11217;JESSE-F-2003/10451;2003
99;February 26 2015;false;11216;HADLEY-F-2008/11208;2008
100;March 13 2015;true;11231;PEPSI-M-2004/10451;2004
101;March 15 2015;false;11205;DAKOTA-F-2013/10038;2013
102;March 14 2015;false;11234;PAPIKO-M-2010/11211;2010
103;March 15 2015;true;11230;CHELSEA-F-2010/10309;2010
104;March 14 2015;true;11229;BROWNIE-M-2012/10282;2012
105;March 16 2015;true;11221;BENTLY-M-2011/10009;2011
106;March 18 2015;true;11207;LOKI-M-2014/11102;2014
107;March 16 2015;false;11221;CHLOE-F-2003/10453;2003
108;March 14 2015;false;11213;SPREWELL-F-2000/10029;2000
109;March 16 2015;true;11234;SPANKY-M-2009/10455;2009
110;March 16 2015;true;11223;VITI-M-2010/10029;2010
111;March 17 2015;false;11223;BERNIE-M-2013/11237;2013
112;March 09 2015;false;11235;RASCAL-M-2009/11106;2009
113;March 22 2015;false;11223;ROCKY-M-2005/10306;2005
114;March 21 2015;false;11204;ROCKO-M-2007/10010;2007
115;March 22 2015;true;11208;ADDER-F-2009/11205;2009
116;March 22 2015;false;11217;PLUTO-M-2012/11201;2012
117;March 21 2015;true;11217;PENNY-F-2006/10452;2006
118;February 02 2015;false;11238;WESLEY-M-2011/11364;2011
119;March 15 2015;false;11221;ZOE-F-2013/11354;2013
120;March 25 2015;false;11027;DR.-M-2002/10473;2002
121;March 29 2015;false;11224;TIBET-M-2005/10471;2005
122;March 20 2015;true;11235;BRUCE-M-2014/10471;2014
123;March 27 2015;false;11215;CHARLIE-M-2007/10471;2007
124;March 28 2015;true;11234;AMY-F-2007/10031;2007
125;March 29 2015;false;11217;RUDY-M-2001/11004;2001
126;March 24 2015;true;11231;STELLA-F-2014/10011;2014
127;March 31 2015;false;11231;MAGY-F-2009/11201;2009
128;April 03 2015;true;11233;LOUISE-F-2008/11375;2008
129;April 02 2015;false;11233;TOBY-M-2001/11235;2001
130;April 06 2015;false;11213;ROCKO-M-2009/10027;2009
131;April 06 2015;false;11224;TYRONE-M-2008/10038;2008
132;April 06 2015;true;11212;STITCH-M-2007/10453;2007
133;March 31 2015;true;11212;PENNY-F-2013/10467;2013
134;March 27 2015;false;11214;ROMEO-M-2003/11429;2003
135;April 06 2015;false;11205;SCOUT-F-2011/10013;2011
136;April 06 2015;false;11213;GIADA-F-2008/10471;2008
137;April 07 2015;false;11231;DUKE-M-2014/10305;2014
138;April 01 2015;false;11201;VITA-F-1999/10456;1999
139;April 08 2015;true;11235;PACO-M-2013/11216;2013
140;April 08 2015;false;11214;MOJITO-M-2010/10025;2010
141;April 06 2015;false;11219;CHARLIE-M-2014/11234;2014
142;April 10 2015;true;11206;FLEUR-F-2013/10128;2013
143;April 03 2015;true;11216;MICKEY-M-2010/10464;2010
144;April 12 2015;true;11209;TYLER-M-2009/11216;2009
145;April 10 2015;false;11220;MARLEY-M-2013/11225;2013
146;April 10 2015;false;11224;MARBLES-F-2005/10128;2005
147;April 12 2015;true;11224;PRADA-F-2014/10019;2014
148;April 10 2015;false;11208;ARISTOTLE-M-2008/11229;2008
149;April 09 2015;false;11208;BETTY-F-2012/11221;2012
150;April 13 2015;false;11207;OZZY-M-2014/10314;2014
151;April 13 2015;false;11208;SNOOPY-M-2006/10308;2006
152;April 14 2015;true;11216;WILBUR-M-2011/10011;2011
153;April 10 2015;true;11216;SAXTON-M-2008/10014;2008
154;April 10 2015;false;11226;GRAYSON-M-2014/11101;2014
155;April 14 2015;false;11226;MILA-F-2008/10035;2008
156;April 16 2015;false;11208;JERSEY-F-2005/10312;2005
157;April 16 2015;true;11228;RILEY-F-2012/10019;2012
158;April 14 2015;false;11214;RIPLEY-F-2010/10310;2010
159;April 20 2015;false;11214;ANGEL-F-2012/10023;2012
160;April 18 2015;false;11214;ROXY-F-2009/11379;2009
161;April 13 2015;false;11221;MOLLIE-F-2004/11364;2004
162;April 11 2015;false;11207;GUS-M-2010/11211;2010
163;April 15 2015;false;11207;TOBY-M-2012/11209;2012
164;April 19 2015;false;11221;MS.-F-2005/10013;2005
165;April 19 2015;true;11222;CHARLY-M-2006/11109;2006
166;April 17 2015;true;11222;SAMMY-M-2010/10128;2010
167;April 17 2015;false;11231;MARLEY-F-2009/10304;2009
168;April 20 2015;false;11224;BOCA-F-2003/10024;2003
169;April 18 2015;false;11220;PISA-F-2010/10029;2010
170;April 19 2015;false;11221;TEDDY-M-2007/11357;2007
171;April 12 2015;false;11235;KAILO-M-2007/11435;2007
172;April 19 2015;false;11221;LILLY-F-2005/10030;2005
173;April 17 2015;true;11224;MAX-M-2006/10016;2006
174;April 16 2015;false;11224;TERRIER-M-2011/11215;2011
175;April 19 2015;true;11218;MARTHE-F-2008/10304;2008
176;April 12 2015;false;11218;HEIDI-F-2001/10005;2001
177;April 22 2015;true;11237;MARLEY-F-2012/10012;2012
178;April 23 2015;false;11238;MAXWELL-M-2011/11206;2011
179;April 22 2015;false;11238;GROM-M-2010/11385;2010
180;April 23 2015;true;11231;BENJAMIN-M-2014/10452;2014
181;April 24 2015;false;11221;ZOEY-F-2010/10009;2010
182;April 25 2015;true;11219;SAM-M-2012/10314;2012
183;April 26 2015;false;11212;JAKE-M-2009/10312;2009
184;April 25 2015;false;11221;PIXIE-F-2007/11215;2007
185;April 25 2015;false;11221;SASHA-F-2012/10010;2012
186;April 27 2015;false;11218;ANNIE-F-2012/10035;2012
187;April 20 2015;false;11218;WEBER-M-2008/10469;2008
188;April 25 2015;false;11201;CHIMI-M-2013/11249;2013
189;April 25 2015;true;11234;MIA-F-2005/10128;2005
190;April 11 2015;true;11220;GIGGY-M-2007/10027;2007
191;April 29 2015;true;11223;ROCKY-M-2012/11385;2012
192;April 29 2015;false;11249;CHLOE-F-2012/11238;2012
193;April 29 2015;true;11221;REX-M-2007/11105;2007
194;April 30 2015;false;11220;BAILEY-M-2012/11109;2012
195;April 26 2015;false;11220;MADISON-F-2008/11378;2008
196;April 30 2015;true;11231;JACK-M-2009/10308;2009
197;May 01 2015;true;11223;JUANCHO-M-2005/10029;2005
198;May 01 2015;true;11221;OSLO-M-2013/11231;2013
199;April 19 2015;false;11223;LATKA-M-2004/10009;2004
200;May 02 2015;false;11214;JI-F-2011/10305;2011
201;May 02 2015;true;11234;BLUE-M-2004/11418;2004
202;May 04 2015;false;11204;HARLEY-M-2010/11208;2010
203;May 04 2015;false;11213;CHARLIE-M-2009/10301;2009
204;May 01 2015;true;11237;CHARLOTTE-F-2009/11368;2009
205;May 03 2015;false;11216;LITTLE-F-2012/10014;2012
206;May 01 2015;false;11209;MAX-M-2007/11355;2007
207;May 05 2015;false;11220;COCOA-F-2007/11221;2007
208;May 01 2015;false;11220;JUNO-F-2011/10009;2011
209;May 06 2015;true;11220;GIGIO-M-2002/10027;2002
210;April 29 2015;false;11204;FRIDA-F-2011/11378;2011
211;May 06 2015;true;11222;PIXEL-F-2013/11204;2013
212;April 08 2015;true;11222;BOUDREAU-M-2007/10303;2007
213;April 08 2015;true;11234;LACY-F-2014/10030;2014
214;May 10 2015;true;11234;BUDDY-M-2011/11201;2011
215;May 10 2015;false;11228;TOMMY-M-2008/10128;2008
216;May 09 2015;true;11231;HENRY-M-2007/11207;2007
217;May 09 2015;true;11208;BRANDI-F-2014/11372;2014
218;May 01 2015;true;11217;ZOEY-F-2002/10025;2002
219;May 09 2015;false;11217;BABY-F-2014/11217;2014
220;May 03 2015;false;11231;HARVEY-M-2008/10004;2008
221;May 11 2015;false;11231;MR.-M-2007/11420;2007
222;May 07 2015;true;11238;CALI-F-2011/10280;2011
223;May 08 2015;false;11209;HANNAH-F-2009/11103;2009
224;May 09 2015;true;11219;SALEH-M-2013/10128;2013
225;May 11 2015;false;11218;BELLA-F-2010/11205;2010
226;April 25 2015;true;11226;DRAMA-F-2010/10306;2010
227;May 03 2015;false;11235;COSMO-M-2012/10309;2012
228;May 10 2015;false;11235;BELLA-F-2010/11214;2010
229;May 12 2015;true;11213;SOPHIE-F-2014/10026;2014
230;April 30 2015;false;11213;SPOTTIE-M-2006/11363;2006
231;May 12 2015;true;11231;CHAMPAGNE-F-2009/10002;2009
232;May 12 2015;true;11215;LUCY-F-2012/10014;2012
233;May 14 2015;false;11211;LUCY-F-2011/10023;2011
234;May 14 2015;true;11220;POOKA-F-2009/10023;2009
235;May 09 2015;false;11220;OSCAR-M-2013/10028;2013
236;May 14 2015;false;11232;CHUCKIE-M-2004/10470;2004
237;May 12 2015;false;11232;BOOTS-M-2007/11214;2007
238;April 28 2015;true;11234;COOPER-M-2008/10075;2008
239;May 15 2015;false;11205;TADGH-M-2010/11101;2010
240;May 18 2015;false;11211;CHUMLIE-M-2007/10467;2007
241;May 18 2015;false;11211;REX-M-2007/10023;2007
242;May 17 2015;false;11211;MADISON-F-2009/11206;2009
243;January 08 2015;true;11224;TIGRO-M-2010/11373;2010
244;May 12 2015;true;11233;YUKI-F-2014/10454;2014
245;May 05 2015;false;11233;MARCO-M-2013/10012;2013
246;May 17 2015;false;11226;MIRA-F-2014/10011;2014
247;May 18 2015;false;11226;STORM-F-2013/11204;2013
248;May 16 2015;true;11226;MOOSE-M-2009/11101;2009
249;May 06 2015;false;11222;LUNA-F-2013/10304;2013
250;May 21 2015;false;11229;NORTON-M-2005/10023;2005
251;May 21 2015;false;11233;SCOOTER-M-2005/11367;2005
252;May 20 2015;true;11201;CHLOE-F-1999/10025;1999
253;May 24 2015;true;11201;BELLA-F-2008/10014;2008
254;May 24 2015;false;11236;CHICO-M-2001/10005;2001
255;May 24 2015;false;11236;YOGI-M-2004/10034;2004
256;May 24 2015;false;11215;LUVI-M-2010/10003;2010
257;May 24 2015;false;11207;SUGOI-M-2013/10033;2013
258;May 22 2015;false;11207;SOFIE-F-2012/11201;2012
259;May 25 2015;false;11234;ULA-F-2005/10014;2005
260;May 25 2015;false;11234;TEDDY-M-2011/11360;2011
261;May 17 2015;false;11226;LASZLO-M-2007/10014;2007
262;May 23 2015;true;11214;OREO-M-2006/11215;2006
263;May 23 2015;true;11214;LEO-M-2004/11201;2004
264;May 24 2015;false;11215;MINDY-F-2009/11215;2009
265;May 18 2015;false;11220;METSY-M-2014/10305;2014
266;May 23 2015;false;11220;BAILEY-M-2011/10025;2011
267;May 27 2015;false;11226;HOMER-M-2003/10003;2003
268;May 28 2015;false;11237;RUBY-F-2002/10312;2002
269;May 24 2015;false;11221;PETE-M-2014/11214;2014
270;May 23 2015;true;11205;LE-F-2014/11211;2014
271;May 28 2015;false;11213;KURTIS-M-2010/10023;2010
272;May 28 2015;false;11236;PUDGIE-F-2005/11418;2005
273;May 26 2015;false;11214;PARKER-M-2013/10463;2013
274;May 28 2015;false;11208;FRIDAY-M-2011/10009;2011
275;May 30 2015;false;11224;THELMA-F-2009/10025;2009
276;May 30 2015;false;11224;CHRISTAL-F-2007/11217;2007
277;May 31 2015;false;11207;LUNA-F-2013/11232;2013
278;May 30 2015;false;11211;JACK-M-2001/10302;2001
279;May 29 2015;true;11229;KIFLI-F-2010/11201;2010
280;May 30 2015;false;11207;GILDA-F-2008/10128;2008
281;May 28 2015;false;11232;PEANUT-F-2012/10036;2012
282;May 31 2015;false;11232;DIZO-M-2012/10006;2012
283;June 01 2015;false;11207;JAYLEN-M-2014/10027;2014
284;June 02 2015;false;11233;REX-M-2012/11373;2012
285;June 02 2015;true;11228;LUCY-F-2014/11220;2014
286;June 01 2015;false;11217;PRALINE-F-2012/11694;2012
287;May 27 2015;false;11217;MINNIE-F-2014/10024;2014
288;June 03 2015;true;11238;KATHY-F-2011/11109;2011
289;May 31 2015;true;11236;LEXI-F-2008/11238;2008
290;May 27 2015;true;11237;NERO-M-2010/11211;2010
291;June 04 2015;true;11226;VICTORIA-F-2011/10456;2011
292;June 04 2015;false;11226;NAMEME-M-2005/10461;2005
293;June 04 2015;true;11214;CASH-M-2013/10456;2013
294;June 05 2015;false;11232;CHARLIE-M-2014/10036;2014
295;June 06 2015;false;11232;YUKI-M-2012/11201;2012
296;June 06 2015;false;11234;LOUIS-M-2007/10002;2007
297;June 05 2015;true;11231;LOLA-F-2014/10011;2014
298;June 06 2015;true;11234;ROCKY-M-2001/10461;2001
299;June 07 2015;true;11231;OHARA-M-2002/11237;2002
300;June 07 2015;false;11231;SANDY-F-2008/11201;2008
301;May 30 2015;false;11211;OLLIE-F-2011/10459;2011
302;May 30 2015;false;11208;JENNY-F-2009/11358;2009
303;June 09 2015;false;11208;MUNECA-F-2010/11414;2010
304;June 05 2015;false;11221;STASH-M-2014/10019;2014
367;July 03 2015;false;11234;COCO-M-2013/10457;2013
305;June 10 2015;false;11237;ROMEO-M-2013/11377;2013
306;June 09 2015;false;11213;HARVEY-M-2008/11355;2008
307;June 10 2015;false;11223;JOY-F-2011/10026;2011
308;June 10 2015;false;11224;HOMER-M-2007/10010;2007
309;June 09 2015;false;11224;LINDA-F-2000/11228;2000
310;May 07 2015;false;11226;BRANDY-F-2007/10013;2007
311;June 09 2015;false;11208;SAM-M-2009/11374;2009
312;June 09 2015;false;11224;KENNY-M-2010/11102;2010
313;June 12 2015;false;11233;GRETTAH-F-2009/11213;2009
314;June 12 2015;false;11235;HERCULES-M-2005/10282;2005
315;June 12 2015;false;11222;TIFFANY-F-2008/10017;2008
316;June 14 2015;true;11222;PEANUT-M-2014/11235;2014
317;June 06 2015;false;11222;JUNO-F-2001/10028;2001
318;June 14 2015;false;11208;ZEUS-M-2011/11233;2011
319;June 13 2015;false;11208;OTIS-M-2012/10025;2012
320;June 14 2015;true;11208;HUGO-M-2004/10307;2004
321;June 12 2015;false;11220;BENJI-M-2006/10460;2006
322;June 14 2015;false;11220;ZIGGY-M-2013/10011;2013
323;June 12 2015;true;11235;GIZMO-M-2010/10031;2010
324;June 12 2015;false;11216;TARA-F-2010/10451;2010
325;June 16 2015;false;11215;PEPITA-F-2014/10471;2014
326;June 14 2015;true;11230;ANNIE-F-2010/11105;2010
327;June 19 2015;true;11233;CHARLIE-M-2014/10014;2014
328;June 18 2015;false;11228;INDY-F-2012/10025;2012
329;June 07 2015;true;11217;ESPRESSO-M-2011/10301;2011
330;June 22 2015;true;11229;CHANEL-F-2013/11228;2013
331;June 22 2015;false;11217;SCRAPPY-M-2005/11416;2005
332;June 21 2015;false;11217;BLACKJACK-F-2004/11101;2004
333;June 19 2015;true;11211;BENNY-M-2011/11105;2011
334;June 19 2015;false;11229;GRACE-F-2012/11379;2012
335;June 18 2015;true;11235;MAX-M-2011/10065;2011
336;June 22 2015;true;11220;NUMNUM-M-2013/11214;2013
337;June 21 2015;true;11220;SKIPPY-M-2006/10012;2006
338;June 23 2015;false;11233;ZEUS-M-2007/11231;2007
339;June 24 2015;false;11226;CUCU-M-2012/11220;2012
340;June 24 2015;false;11230;DUKE-M-2010/10002;2010
341;June 26 2015;false;11220;CASSIE-F-2009/10029;2009
342;June 24 2015;false;11224;SPIKEY-M-2005/11249;2005
343;June 25 2015;false;11224;EEVEE-F-2000/10463;2000
344;June 28 2015;false;11203;DUSTY-F-2006/11231;2006
345;June 23 2015;false;11232;DENZEL-M-2005/11693;2005
